project_id,project_name,approved_cost_cr,revised_cost_cr
PRJ-705728,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,108000,108000
PRJ-702668,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,63246,34698
PRJ-705237,WESTERN DEDICATED FREIGHT CORRIDOR,51101,124005
PRJ-702635,CONSTRUCTION OF BANGALORE METRO RAIL PROJECT PHASE 2.,26405,30695
PRJ-702632,DMRTS PHASE - IV [3 PRIORITY CORRIDORS],24949,21421
PRJ-709798,ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING,43367,43367
PRJ-298178,"MEJA THERMAL POWER PROJECT, STAGE-II , (3X800 MW)",38358,1003
PRJ-701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25,34627,36225
PRJ-400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,34012,34012
PRJ-602182,DIBANG MULTIPURPOSE PROJECT,31876,4921
PRJ-701530,KEN-BETWA LINKING DEVELOPMENT PROJECT,21030,8531
PRJ-701372,SARDAR SAROVAR PROJECT,20718,33413
PRJ-701415,POLAVARAM IRRIGATION PROJECT,10151,55549
PRJ-701405,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,8201,14730
PRJ-701386,GOSIKHURD PROJECT,7196,12770
PRJ-706775,BHARATNET,61109,12709
PRJ-400013,SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES,26316,15393
PRJ-709857,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING,",24545,9166
PRJ-547243,BHARATNET PHASE-II,22175,20692
PRJ-400188,REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL,32850,32841
PRJ-617883,REDEVELOPMENT OF RESIDENTIAL COLONIES AT AYUR VIGYAN,4441,44
PRJ-701668,DEVELOPMENT OF PALAKKAD NODE UNDER EXTENSION OF CBIC TO,3805,58
PRJ-617727,ORVAKAL INDUSTRIAL AREA,2786,356
PRJ-601812,DEVELOPMENT OF ZAHEERABAD NODE UNDER HYDERABAD,2360,43
PRJ-619032,JAYANT EXPN. [20 TO 38 MTPA],25560,333
PRJ-400424,GEVRA OC [70 MTY],11816,7825
PRJ-400185,GOPALJI KANIHA OCP [10 TO 30 M,8416,6108
PRJ-400150,RPR MAGADH EXP OCP,6964,2300
PRJ-617416,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE,",5940,521
PRJ-618412,CONSTRUCTION OF I CONNECTING ROAD FROM Z-MORH TUNNEL TO ZOJILA TUNNEL,6809,6809
PRJ-618934,GUWAHATI RING ROAD IN THE STATE OF ASSAM,5729,5729
PRJ-618373,CONSTRUCTION OF 4-LANE BRIDGE INCLUDING APPROACHES OVER RIVER,4997,4997
PRJ-705728,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,108000,108000
PRJ-705237,WESTERN DEDICATED FREIGHT CORRIDOR,51101,124005
PRJ-705941,BANGALORE SUBURBAN RAILWAY PROJECT,15767,15767
PRJ-705391,JIRIBAM-IMPHAL 110 KM,14323,21886
PRJ-616699,MULTI TRACKING OF SON NAGAR-ANDAL 374.53 RKM & 814.38 TKM PB34/ECOR/2023-,12334,12334
PRJ-400231,NLC TALABIRA THERMAL POWER PROJECT,27213,27213
PRJ-619032,JAYANT EXPN. [20 TO 38 MTPA],25560,25560
PRJ-400424,GEVRA OC [70 MTY],11816,11816
PRJ-400185,GOPALJI KANIHA OCP [10 TO 30 M,8416,6108
PRJ-400150,RPR MAGADH EXP OCP,6964,6964
PRJ-709798,ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM,43367,43367
PRJ-701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,34627,36225
PRJ-400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,34012,34012
PRJ-604795,CBR 9 MMTPA PROJECT,31580,36354
PRJ-701329,PETROCHEMICAL AND LUBE INTEGRATION PROJECT AT GUJARAT REFINERY,18936,17825
PRJ-298178,"MEJA THERMAL POWER PROJECT, STAGE-II , (3X800 MW)",38358,38358
PRJ-602182,DIBANG MULTIPURPOSE PROJECT,31876,31876
PRJ-619051,"NABINAGAR SUPER THERMAL POWER PROJECT, STAGE-II [3X800 MW]",29948,29948
PRJ-619341,"TELANGANA SUPER THERMAL POWER PROJECT , STAGE-II [3 X 800 MW]",29345,29345
PRJ-619025,RAJASTHAN PART I POWER TRANSMISSION LIMITED,25000,25000
