"Physical Progress"

"1","0-10","235","520679.96 (523656.51)","36962.64"
"2","10-20","110","333559.66 (337252.14)","40496.07"
"3","20-30","116","176119.12 (175266.22)","41574.28"
"4","30-40","106","222528.44 (218799.28)","56618.77"
"5","40-50","112","180353.9 (191728.69)","76767.11"
"6","50-60","127","197225.98 (218011.58)","103958.02"
"7","60-70","121","259592.16 (268577.11)","186387"
"8","70-80","153","216613.34 (265994.58)","176396.56"
"9","80-90","209","349302.72 (443927.17)","307776.97"
"10","90-100","425","858772.7 (1007796.77)","855181.8"
"11","100","61","55390.24 (59631.5)","43980.35"
