"Sector Wise Details"

"1","Roads & Highways","993","945370.67 (961717.26)","460544.81"
"2","Railways","192","469207.22 (643472.79)","461968.46"
"3","Coal","115","184577.77 (182551.43)","52368.66"
"4","Oil & Gas","91","362394.1 (394917.26)","204670.66"
"5","Transmission & Distribution","63","197390.82 (203354.39)","68896.68"
"6","Healthcare","44","23349.5 (28174.66)","12038.92"
"7","Electricity Generation","39","389213.86 (439435.72)","146799.71"
"8","Education","31","16072.15 (15585.01)","9209.81"
"9","Telecommunication","31","207194.71 (133825.11)","102879.15"
"10","Water Resources","30","96487.38 (197109.95)","140510.51"
"11","Urban Public Transport","30","320872.37 (339476.05)","178627.24"
"12","Steel","26","24624.69 (28206.53)","12876.92"
"13","Aviation & Aviation Infrastructure","25","21345.07 (22771.55)","11586.47"
"14","Waste & Water","23","7789.67 (7888.95)","4588.48"
"15","Real Estate","15","54229.87 (54296.02)","16984.69"
"16","Energy Storage","12","25151.96 (28440.82)","23048.58"
"17","Metals & Mining","6","9689.36 (13843.37)","7692.85"
"18","Shipping","4","7572.5 (7613.11)","5245.77"
"19","Construction","2","899.37 (899.37)","287.63"
"20","Tourism, Hospitality & Wellness","1","573 (1238.05)","656.38"
"21","Inland Waterways","1","5369.18 (5061.15)","4187.19"
"22","Logistics Infrastructure","1","763 (763)","430"
