"State Wise Details"

"1"                 , "Maharashtra"                         , "182", "535255.42 (601442.86)", "454254.95"
"2"                 , "Uttar Pradesh"                       , "168", "536436.18 (548156.03)", "342271.33"
"3"                 , "Bihar"                               , "126", "338139.67 (292208.33)", "187800.74"
"4"                 , "Andhra Pradesh"                      , "119", "283186.58 (272612.62)", "195586.79"
"5"                 , "Madhya Pradesh"                      , "118", "390076.67 (356952.02)", "193669.34"
"6"                 , "Karnataka"                           , "113", "293274.81 (242198.55)", "176779.95"
"7"                 , "Odisha"                              , "108", "305157.53 (261313.62)", "183622.73"
"8"                 , "Jharkhand"                           , "103", "291510.24 (240249.36)", "163628.88"
"9"                 , "Gujarat"                             , "99" , "463616.39 (503175.72)", "418591.89"
"10"                , "West Bengal"                         , "78" , "232645.9 (184454.21)" , "141576.32"
"11"                , "Chhattisgarh"                        , "77" , "237317.76 (185007.66)", "140530.15"
"12"                , "Assam"                               , "76" , "203460.11 (189628.59)", "167803.92"
"13"                , "Telangana"                           , "75" , "202755.04 (156938.14)", "111438.38"
"14"                , "Rajasthan"                           , "74" , "316591.24 (332166.69)", "272259.78"
"15"                , "Tamil Nadu"                          , "65" , "220043.25 (221723.72)", "106817.51"
"16"                , "Punjab"                              , "53" , "170769.4 (120178.12)" , "118033.04"
"17"                , "Uttarakhand"                         , "52" , "146179.29 (96740.21)" , "103701.12"
"18"                , "Jammu & Kashmir"                     , "52" , "172125.46 (119458.58)", "114037.36"
"19"                , "Manipur"                             , "40" , "144492.91 (94399.49)" , "111448.86"
"20"                , "Haryana"                             , "39" , "234235.61 (254819.13)", "240928.74"
"21"                , "Himachal Pradesh"                    , "37" , "143839.41 (96645.29)" , "102900.15"
"22"                , "Kerala"                              , "37" , "184024.2 (134483.68)" , "128395.07"
"23"                , "Arunachal Pradesh"                   , "28" , "191374.31 (156136.84)", "123875.42"
"24"                , "Nagaland"                            , "27" , "129193.98 (80660.77)" , "93688.27"
"25"                , "Mizoram"                             , "24" , "128119.18 (70384.69)" , "88640.23"
"26"                , "Meghalaya"                           , "22" , "125233.08 (66616.46)" , "88358.56"
"27"                , "Sikkim"                              , "21" , "134454.41 (84759)"    , "107502.01"
"28"                , "Delhi"                               , "19" , "107657.09 (111475.47)", "58309.55"
"29"                , "Tripura"                             , "17" , "131859.11 (74046.8)"  , "93385.17"
"30"                , "Puducherry"                          , "9"  , "73855.07 (26440.31)"  , "55581.34"
"31"                , "Goa"                                 , "9"  , "35071.43 (23924.15)"  , "9844.83"
"32"                , "Ladakh"                              , "9"  , "52745.96 (41982.8)"   , "31642.63"
"33"                , "Andaman & Nicobar"                   , "9"  , "112782.54 (53907.01)" , "79168.67"
"34"                , "Dadra & Nagar Haveli and Daman & Diu", "7"  , "203120.93 (144581.78)", "150644.49"
"35"                , "Chandigarh"                          , "3"  , "88070.13 (28746.97)"  , "57940.41"
"36"                , "Lakshadweep"                         , "2"  , "22819.69 (22819.69)"  , "21099.62"
