State                        , Sector                                                                                                   , Project Count, Cost (Cr)
Sector - Overview            , Roads & Highways                                                                                         ,          1137,      1
Sector - Overview            , Railways                                                                                                 ,           262,    721
Sector - Overview            , Urban Public Transport                                                                                   ,            27,    315
Sector - Overview            , Aviation & Aviation Infrastructure                                                                       ,            26,     21
Sector - Overview            , Shipping                                                                                                 ,             5,     13
Sector - Overview            , Logistics Infrastructure                                                                                 ,             1,    763
Sector - Overview            , Inland Waterways                                                                                         ,             1,      5
Sector - Overview            , Oil & Gas                                                                                                ,            96,    370
Sector - Overview            , Transmission & Distribution                                                                              ,            69,    208
Sector - Overview            , Electricity Generation                                                                                   ,            40,    340
Sector - Overview            , Energy Storage                                                                                           ,            16,     80
Sector - Overview            , Water Resources                                                                                          ,            40,    117
Sector - Overview            , Waste & Water                                                                                            ,            27,      8
Sector - Overview            , Telecommunication                                                                                        ,            12,    151
Sector - Overview            , Healthcare                                                                                               ,            34,     20
Sector - Overview            , Education                                                                                                ,            31,     16
Sector - Overview            , Real Estate                                                                                              ,            11,     49
Sector - Overview            , Coal                                                                                                     ,           119,    187
Sector - Overview            , Steel                                                                                                    ,            18,     17
Sector - Overview            , Metals & Mining                                                                                          ,             6,      9
Sector - Overview            , Construction                                                                                             ,             2,    899
(PAIMANA)                    , Water Resources                                                                                          ,            40, 160182
Himachal Pradesh             , Jharkhand                                                                  Railways                      ,             1,   1713.19
Punjab                       , Sikkim             Ministry of Petroleum & Natural Gas                  Oil & Gas                        ,             1,   6877.97
Establishment of NIT Nagaland, Sikkim                                                                                                   ,           292,     95
(MoRTH)                      , Arunachal Pradesh                                                                                        ,             0,      0
(NHIDCL)                     , Balance Work                                                                        Arunachal Pradesh    ,             0,     17.91
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,      1.7
Physical Progress            , Arunachal Pradesh                                                                                        ,             0,     49.23
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     21.37
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     39.1
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     99.69
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     99.52
(NHIDCL)                     , and NH                                                                                                   ,            27,     03
(NHIDCL)                     , Assam                                                                                                    ,             0,     52
(NHIDCL)                     , to Km                                                                                                    ,        490800,     13.800
Physical Progress            , to Km                                                                                                    ,        463000,     10.000
(MoRTH)                      , Assam                                                                                                    ,             0,     85.29
(MoRTH)                      , Assam                                                                                                    ,             0,      1.82
(NHIDCL)                     , Assam                                                                                                    ,             0,     28.74
(NHIDCL)                     , Churaibari stretch in the State of Assam on EPC Mode under Bharatmala               Assam                ,             0,     57.17
(NHIDCL)                     , Assam                                                                                                    ,             0,     31.83
(NHIDCL)                     , Assam                                                                                                    ,             0,     11
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,     97.96
Physical Progress            , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,     20.45
(NHIDCL)                     , Manipur                                                                                                  ,             0,     88.85
Physical Progress            , Manipur                                                                                                  ,             0,     97.12
(NHIDCL)                     , Manipur                                                                                                  ,             0,     76.18
(NHIDCL)                     , Meghalaya                                                                                                ,             0,      2.5
(NHIDCL)                     , to Km                                                                                                    ,        151060,     03
